rule_id,stage,evidence,video_id,timestamp,interpretation
U01,후보수집,전일대비 등락률 상위와 종합시황 뉴스,03-AcIXuUpI,00:00:00,등락률·뉴스에서 시작
U02,후보수집,거래대금 상위 종목을 섹터별 분류,M9rBXtlIQe0,00:00:10,거래대금 상위 후 진짜 강한 섹터 분류
S01,섹터·재료,S/A/B 재료 등급,sZgu4Dmc77M,00:00:17,관련주 확산 수로 등급 분류
S02,대장주,대장주가 가장 중요,65Hl6i_4poE,00:01:39,섹터 안 현재 대장 확인
X01,하드제외,시총 500억·관리·당일상장·정치테마 제외,sZgu4Dmc77M,00:07:04,네 가지 직접 제외 기준
X02,하드제외,동전주 제외,wrTvBlDpYYQ,00:10:16,저가주 배제
L01,상한가 분봉,상한가 3패턴 분류,03-AcIXuUpI,00:01:21,잠김·재잠김·반복 풀림
C101,종가 기본형,거래대금 500억·윗꼬리 장대양봉·이평 수렴 돌파,3DyDaIdJuWU,00:01:34~06:09,세 조건 직접 설명
C102,종가 기본형,작은 윗꼬리는 당일 매도물량 출회 흔적,e4fHw1uADI4,00:00:51~01:15,무꼬리보다 작은 윗꼬리 선호
C103,재료,재료의 연속성,e4fHw1uADI4,00:01:26~05:07,종가 패턴 동력
A01,매집·소화,상한가 뒤 윗꼬리·박스 물량 소화,65Hl6i_4poE,00:04:35~04:45,윗꼬리와 박스 의미
C201,매집완료,5·11일선 단기 추세 유지 후 전고점 돌파,hWhuTQjGHhM,00:00:34~04:32,종가부터 단기 지지 분할
C301,매집미완료,비중 축소하고 5·10·20·장기 이평 여러 번 분할,hWhuTQjGHhM,00:06:57~07:20,바닥형 변동성 대응
C401,신규상장,상장일 매집 후 상장일 고가 돌파,DWzMWH8enJA,00:00:22~04:20,신규상장 종가 패턴
C501,초대량 박스,2500·3600·3700억 첫 파동은 박스 소화 필요,DWzMWH8enJA,00:08:49~09:01,초대량 매물 소화
C601,양음양,추세 저항 돌파 거래대금 장대양봉과 양음양,eG4Wf_mPR84,00:00:16~00:24,저항 재돌파 패턴
R01,매수계획,"종가부터 분할, 지지선 추가",hWhuTQjGHhM,00:04:28~05:14,패턴별 지지 분할
H01,익일확인,다음날 실시간 호가창·차트 필요,03-AcIXuUpI,00:07:57,종가 스크리너가 자동매수 신호가 아님
H02,익일확인,호가창이 좋게 형성되면 관심,wrTvBlDpYYQ,00:11:18,익일 최종 선택 1~2종목
